index,Unidades da Federacao,Unidade,Produto,Ano,Producao
188,Rio Grande do Norte,(m3),Biodiesel,2016,0
189,Rio Grande do Norte,(mil barris),LGN,2016,9830
190,Rio Grande do Norte,(mil barris),Petroleo,2016,204330
191,Rio Grande do Norte,(mil m3),Etanol anidro e hidratado,2016,7515
192,Rio Grande do Norte,(milhoes de m3),Gas Natural,2016,3888
193,Rio Grande do Sul,(m3),Biodiesel,2016,10747590
194,Rio Grande do Sul,(mil m3),Etanol anidro e hidratado,2016,291
195,Rio de Janeiro,(m3),Biodiesel,2016,216690
196,Rio de Janeiro,(m3),Biometano,2016,0
197,Rio de Janeiro,(mil barris),LGN,2016,100430
198,Rio de Janeiro,(mil barris),Petroleo,2016,6147130
199,Rio de Janeiro,(mil m3),Etanol anidro e hidratado,2016,9469
200,Rio de Janeiro,(milhoes de m3),Gas Natural,2016,166131
201,Rondonia,(m3),Biodiesel,2016,10350
202,Rondonia,(mil m3),Etanol anidro e hidratado,2016,906
203,Santa Catarina,(m3),Biodiesel,2016,892520
204,Sao Paulo,(m3),Biodiesel,2016,1377910
205,Sao Paulo,(m3),Biometano,2016,0
206,Sao Paulo,(mil barris),LGN,2016,101640
207,Sao Paulo,(mil barris),Petroleo,2016,1026050
208,Sao Paulo,(mil m3),Etanol anidro e hidratado,2016,1423241
209,Sao Paulo,(milhoes de m3),Gas Natural,2016,58322
210,Sergipe,(mil barris),LGN,2016,6390
211,Sergipe,(mil barris),Petroleo,2016,109020
212,Sergipe,(mil m3),Etanol anidro e hidratado,2016,7603
213,Sergipe,(milhoes de m3),Gas Natural,2016,9492
214,Tocantins,(m3),Biodiesel,2016,379230
215,Tocantins,(mil m3),Etanol anidro e hidratado,2016,16197
216,Acre,(mil m3),Etanol anidro e hidratado,2017,0
217,Alagoas,(mil barris),LGN,2017,5020
218,Alagoas,(mil barris),Petroleo,2017,16390
219,Alagoas,(mil m3),Etanol anidro e hidratado,2017,31188
220,Alagoas,(milhoes de m3),Gas Natural,2017,3917
221,Amazonas,(mil barris),LGN,2017,57230
222,Amazonas,(mil barris),Petroleo,2017,74820
223,Amazonas,(mil m3),Etanol anidro e hidratado,2017,485
224,Amazonas,(milhoes de m3),Gas Natural,2017,47564
225,Bahia,(m3),Biodiesel,2017,2909450
226,Bahia,(mil barris),LGN,2017,9600
227,Bahia,(mil barris),Petroleo,2017,136910
228,Bahia,(mil m3),Etanol anidro e hidratado,2017,18077
229,Bahia,(milhoes de m3),Gas Natural,2017,25873
230,Ceara,(m3),Biodiesel,2017,0
231,Ceara,(m3),Biometano,2017,0
232,Ceara,(mil barris),LGN,2017,0
233,Ceara,(mil barris),Petroleo,2017,60380
234,Ceara,(mil m3),Etanol anidro e hidratado,2017,0
235,Ceara,(milhoes de m3),Gas Natural,2017,305
236,Espirito Santo,(mil barris),LGN,2017,59690
237,Espirito Santo,(mil barris),Petroleo,2017,1377600
238,Espirito Santo,(mil m3),Etanol anidro e hidratado,2017,9065
239,Espirito Santo,(milhoes de m3),Gas Natural,2017,40216
240,Goias,(m3),Biodiesel,2017,7165700
241,Goias,(mil m3),Etanol anidro e hidratado,2017,487478
242,Maranhao,(mil barris),Petroleo,2017,1300
243,Maranhao,(mil m3),Etanol anidro e hidratado,2017,16256
244,Maranhao,(milhoes de m3),Gas Natural,2017,16172
245,Mato Grosso,(m3),Biodiesel,2017,9140020
246,Mato Grosso,(mil m3),Etanol anidro e hidratado,2017,141509
247,Mato Grosso do Sul,(m3),Biodiesel,2017,2657070
248,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2017,266806
249,Minas Gerais,(m3),Biodiesel,2017,1181360
250,Minas Gerais,(mil m3),Etanol anidro e hidratado,2017,27054
251,Para,(m3),Biodiesel,2017,0
252,Para,(mil m3),Etanol anidro e hidratado,2017,5162
253,Paraiba,(mil m3),Etanol anidro e hidratado,2017,32963
254,Parana,(m3),Biodiesel,2017,5042330
255,Parana,(mil m3),Etanol anidro e hidratado,2017,129137
256,Parana,(milhoes de m3),Gas Natural,2017,0
257,Pernambuco,(mil m3),Etanol anidro e hidratado,2017,27945
258,Piaui,(m3),Biodiesel,2017,0
259,Piaui,(mil m3),Etanol anidro e hidratado,2017,204
260,Rio Grande do Norte,(m3),Biodiesel,2017,0
261,Rio Grande do Norte,(mil barris),LGN,2017,9650
262,Rio Grande do Norte,(mil barris),Petroleo,2017,173010
263,Rio Grande do Norte,(mil m3),Etanol anidro e hidratado,2017,6635
264,Rio Grande do Norte,(milhoes de m3),Gas Natural,2017,3994
265,Rio Grande do Sul,(m3),Biodiesel,2017,11359760
266,Rio Grande do Sul,(mil m3),Etanol anidro e hidratado,2017,249
267,Rio de Janeiro,(m3),Biodiesel,2017,582370
268,Rio de Janeiro,(m3),Biometano,2017,0
269,Rio de Janeiro,(mil barris),LGN,2017,75090
270,Rio de Janeiro,(mil barris),Petroleo,2017,6508540
271,Rio de Janeiro,(mil m3),Etanol anidro e hidratado,2017,5389
272,Rio de Janeiro,(milhoes de m3),Gas Natural,2017,186151
273,Rondonia,(m3),Biodiesel,2017,72600
274,Rondonia,(mil m3),Etanol anidro e hidratado,2017,49
275,Santa Catarina,(m3),Biodiesel,2017,1219650
276,Sao Paulo,(m3),Biodiesel,2017,1562460
277,Sao Paulo,(m3),Biometano,2017,0
278,Sao Paulo,(mil barris),LGN,2017,183450
279,Sao Paulo,(mil barris),Petroleo,2017,1200140
280,Sao Paulo,(mil m3),Etanol anidro e hidratado,2017,1383859
281,Sao Paulo,(milhoes de m3),Gas Natural,2017,68863
282,Sergipe,(mil barris),LGN,2017,5520
283,Sergipe,(mil barris),Petroleo,2017,84710
284,Sergipe,(mil m3),Etanol anidro e hidratado,2017,6374
285,Sergipe,(milhoes de m3),Gas Natural,2017,8118
286,Tocantins,(m3),Biodiesel,2017,5610
287,Tocantins,(mil m3),Etanol anidro e hidratado,2017,17627
288,Acre,(mil m3),Etanol anidro e hidratado,2018,0
289,Alagoas,(mil barris),LGN,2018,5140
290,Alagoas,(mil barris),Petroleo,2018,97200
291,Alagoas,(mil m3),Etanol anidro e hidratado,2018,4641
292,Alagoas,(milhoes de m3),Gas Natural,2018,4075
293,Amazonas,(mil barris),LGN,2018,62250
294,Amazonas,(mil barris),Petroleo,2018,74620
295,Amazonas,(mil m3),Etanol anidro e hidratado,2018,547
296,Amazonas,(milhoes de m3),Gas Natural,2018,52160
297,Bahia,(m3),Biodiesel,2018,3763380
298,Bahia,(mil barris),LGN,2018,9360
299,Bahia,(mil barris),Petroleo,2018,125160
300,Bahia,(mil m3),Etanol anidro e hidratado,2018,2457
301,Bahia,(milhoes de m3),Gas Natural,2018,25530
302,Ceara,(m3),Biodiesel,2018,0
303,Ceara,(m3),Biometano,2018,0
304,Ceara,(mil barris),LGN,2018,0
305,Ceara,(mil barris),Petroleo,2018,54240
306,Ceara,(mil m3),Etanol anidro e hidratado,2018,0
307,Ceara,(milhoes de m3),Gas Natural,2018,357
308,Espirito Santo,(mil barris),LGN,2018,54760
309,Espirito Santo,(mil barris),Petroleo,2018,1223090
310,Espirito Santo,(mil m3),Etanol anidro e hidratado,2018,12757
311,Espirito Santo,(milhoes de m3),Gas Natural,2018,34629
312,Goias,(m3),Biodiesel,2018,7581960
313,Goias,(mil m3),Etanol anidro e hidratado,2018,449143
314,Maranhao,(mil barris),Petroleo,2018,1500
315,Maranhao,(mil m3),Etanol anidro e hidratado,2018,14762
316,Maranhao,(milhoes de m3),Gas Natural,2018,14109
317,Mato Grosso,(m3),Biodiesel,2018,11195520
318,Mato Grosso,(mil m3),Etanol anidro e hidratado,2018,175728
319,Mato Grosso do Sul,(m3),Biodiesel,2018,3244830
320,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2018,326448
321,Minas Gerais,(m3),Biodiesel,2018,1279460
322,Minas Gerais,(mil m3),Etanol anidro e hidratado,2018,32576
323,Para,(m3),Biodiesel,2018,0
324,Para,(mil m3),Etanol anidro e hidratado,2018,4346
325,Paraiba,(mil m3),Etanol anidro e hidratado,2018,43104
326,Parana,(m3),Biodiesel,2018,6018210
327,Parana,(mil m3),Etanol anidro e hidratado,2018,162401
328,Parana,(milhoes de m3),Gas Natural,2018,0
329,Pernambuco,(mil m3),Etanol anidro e hidratado,2018,46551
330,Piaui,(m3),Biodiesel,2018,0
331,Piaui,(mil m3),Etanol anidro e hidratado,2018,3748
332,Rio Grande do Norte,(m3),Biodiesel,2018,0
333,Rio Grande do Norte,(mil barris),LGN,2018,8490
334,Rio Grande do Norte,(mil barris),Petroleo,2018,14700
335,Rio Grande do Norte,(mil m3),Etanol anidro e hidratado,2018,1149
336,Rio Grande do Norte,(milhoes de m3),Gas Natural,2018,3514
337,Rio Grande do Sul,(m3),Biodiesel,2018,14750800
338,Rio Grande do Sul,(mil m3),Etanol anidro e hidratado,2018,219
339,Rio de Janeiro,(m3),Biodiesel,2018,961030
340,Rio de Janeiro,(m3),Biometano,2018,0
341,Rio de Janeiro,(mil barris),LGN,2018,56810
342,Rio de Janeiro,(mil barris),Petroleo,2018,6628180
343,Rio de Janeiro,(mil m3),Etanol anidro e hidratado,2018,9726
344,Rio de Janeiro,(milhoes de m3),Gas Natural,2018,201976
345,Rondonia,(m3),Biodiesel,2018,162320
346,Rondonia,(mil m3),Etanol anidro e hidratado,2018,139
347,Santa Catarina,(m3),Biodiesel,2018,1221310
348,Sao Paulo,(m3),Biodiesel,2018,2336530
349,Sao Paulo,(m3),Biometano,2018,0
350,Sao Paulo,(mil barris),LGN,2018,190480
351,Sao Paulo,(mil barris),Petroleo,2018,1164640
352,Sao Paulo,(mil m3),Etanol anidro e hidratado,2018,162034
353,Sao Paulo,(milhoes de m3),Gas Natural,2018,64310
354,Sergipe,(mil barris),LGN,2018,4540
355,Sergipe,(mil barris),Petroleo,2018,66290
356,Sergipe,(mil m3),Etanol anidro e hidratado,2018,1042
357,Sergipe,(milhoes de m3),Gas Natural,2018,7913
358,Tocantins,(m3),Biodiesel,2018,851010
359,Tocantins,(mil m3),Etanol anidro e hidratado,2018,15522
360,Acre,(mil m3),Etanol anidro e hidratado,2019,0
361,Alagoas,(mil barris),LGN,2019,3690
362,Alagoas,(mil barris),Petroleo,2019,97531
363,Alagoas,(mil m3),Etanol anidro e hidratado,2019,50316
364,Alagoas,(milhoes de m3),Gas Natural,2019,3145
365,Amazonas,(mil barris),LGN,2019,59950
366,Amazonas,(mil barris),Petroleo,2019,68140
367,Amazonas,(mil m3),Etanol anidro e hidratado,2019,882
368,Amazonas,(milhoes de m3),Gas Natural,2019,55711
369,Bahia,(m3),Biodiesel,2019,4543260
370,Bahia,(mil barris),LGN,2019,8800
371,Bahia,(mil barris),Petroleo,2019,102630
372,Bahia,(mil m3),Etanol anidro e hidratado,2019,2491
373,Bahia,(milhoes de m3),Gas Natural,2019,20827
374,Ceara,(m3),Biodiesel,2019,0
375,Ceara,(m3),Biometano,2019,0
376,Ceara,(mil barris),LGN,2019,0
377,Ceara,(mil barris),Petroleo,2019,18550
378,Ceara,(mil m3),Etanol anidro e hidratado,2019,0
379,Ceara,(milhoes de m3),Gas Natural,2019,284
380,Espirito Santo,(mil barris),LGN,2019,56490
381,Espirito Santo,(mil barris),Petroleo,2019,1049890
382,Espirito Santo,(mil m3),Etanol anidro e hidratado,2019,12097
383,Espirito Santo,(milhoes de m3),Gas Natural,2019,26717
384,Goias,(m3),Biodiesel,2019,8650510
385,Goias,(mil m3),Etanol anidro e hidratado,2019,547074
386,Maranhao,(mil barris),Petroleo,2019,200
387,Maranhao,(mil m3),Etanol anidro e hidratado,2019,16774
388,Maranhao,(milhoes de m3),Gas Natural,2019,13951
389,Mato Grosso,(m3),Biodiesel,2019,12349720
390,Mato Grosso,(mil m3),Etanol anidro e hidratado,2019,225438
391,Mato Grosso do Sul,(m3),Biodiesel,2019,3434570
392,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2019,33072
